time_s,sta_index,node_id,freq_mhz,inst_rssi_dbm,avg_rssi_dbm
0.410642,0,6,2412,-51.2718,-51.2663
0.466214,17,23,2412,-54.7052,-54.7162
0.466214,7,13,2412,-54.443,-54.442
0.466214,8,14,2412,-53.5665,-53.5756
0.466214,19,25,2412,-57.7332,-57.7252
0.466215,13,19,2412,-52.376,-52.3835
0.488291,15,21,2412,-56.5247,-56.5115
0.488291,11,17,2412,-44.8898,-44.8759
0.488291,18,24,2412,-50.9964,-50.9859
0.488291,12,18,2412,-46.9976,-46.9956
0.488291,9,15,2412,-64.7874,-64.7909
0.501156,14,20,2412,-37.0647,-37.0464
0.501156,6,12,2412,-50.5729,-50.6084
0.501156,16,22,2412,-61.1572,-61.1794
0.501156,3,9,2412,-48.7758,-48.7777
0.501157,2,8,2412,-62.598,-62.5956
0.513042,4,10,2412,-59.5726,-59.5653
0.513042,1,7,2412,-60.5973,-60.6011
0.513042,5,11,2412,-55.6598,-55.6574
0.513042,0,6,2412,-51.274,-51.2671
0.553114,17,23,2412,-54.7018,-54.7147
0.553114,7,13,2412,-54.4433,-54.4422
0.553114,8,14,2412,-53.5636,-53.5744
0.553114,19,25,2412,-57.7357,-57.7262
0.553114,13,19,2412,-52.3736,-52.3825
0.553792,17,23,2412,-54.7017,-54.7134
0.553792,7,13,2412,-54.4433,-54.4423
0.553792,8,14,2412,-53.5636,-53.5733
0.553792,19,25,2412,-57.7357,-57.7272
0.553792,13,19,2412,-52.3735,-52.3816
0.553792,10,16,2412,-59.728,-59.728
0.568614,17,23,2412,-54.7012,-54.7122
0.568614,7,13,2412,-54.4434,-54.4424
0.568614,8,14,2412,-53.5631,-53.5723
0.568614,19,25,2412,-57.7361,-57.7281
0.568615,13,19,2412,-52.3732,-52.3808
0.568615,10,16,2412,-59.7282,-59.728
0.590691,15,21,2412,-56.5292,-56.5133
0.590691,11,17,2412,-44.8945,-44.8778
0.590691,18,24,2412,-51.0002,-50.9873
0.590691,12,18,2412,-46.9982,-46.9959
0.590691,9,15,2412,-64.7862,-64.7905
0.603556,14,20,2412,-37.0709,-37.0489
0.603556,6,12,2412,-50.5609,-50.6036
0.603556,16,22,2412,-61.1497,-61.1764
0.603556,3,9,2412,-48.7751,-48.7775
0.603557,2,8,2412,-62.5988,-62.5959
0.615442,4,10,2412,-59.5749,-59.5662
0.615442,1,7,2412,-60.5961,-60.6006
0.615442,5,11,2412,-55.6605,-55.6577
0.615442,0,6,2412,-51.2761,-51.268
0.671014,17,23,2412,-54.6972,-54.7107
0.671014,7,13,2412,-54.4438,-54.4425
0.671014,8,14,2412,-53.5597,-53.571
0.671014,19,25,2412,-57.739,-57.7292
0.671015,13,19,2412,-52.3703,-52.3797
0.671015,10,16,2412,-59.7293,-59.7282
0.693091,15,21,2412,-56.5337,-56.5153
0.693091,11,17,2412,-44.8993,-44.8799
0.693091,18,24,2412,-51.004,-50.989
0.693091,12,18,2412,-46.9989,-46.9962
0.693091,9,15,2412,-64.7851,-64.7899
0.705956,14,20,2412,-37.0772,-37.0517
0.705956,6,12,2412,-50.5489,-50.5982
0.705956,16,22,2412,-61.1422,-61.173
0.705956,3,9,2412,-48.7745,-48.7772
0.705957,2,8,2412,-62.5996,-62.5963
0.717842,4,10,2412,-59.5772,-59.5673
0.717842,1,7,2412,-60.595,-60.6001
0.717842,5,11,2412,-55.6612,-55.6581
0.717842,0,6,2412,-51.2782,-51.269
0.773414,17,23,2412,-54.6932,-54.7089
0.773414,7,13,2412,-54.4442,-54.4427
0.773414,8,14,2412,-53.5563,-53.5696
0.773414,19,25,2412,-57.7419,-57.7304
0.773415,13,19,2412,-52.3674,-52.3785
0.773415,10,16,2412,-59.7305,-59.7284
0.795491,15,21,2412,-56.5382,-56.5176
0.795491,11,17,2412,-44.904,-44.8823
0.795491,18,24,2412,-51.0078,-50.9909
0.795491,12,18,2412,-46.9996,-46.9965
0.795491,9,15,2412,-64.7839,-64.7893
0.808356,14,20,2412,-37.0834,-37.0549
0.808356,6,12,2412,-50.537,-50.592
0.808356,16,22,2412,-61.1348,-61.1692
0.808356,3,9,2412,-48.7738,-48.7768
0.808357,2,8,2412,-62.6004,-62.5967
0.820242,4,10,2412,-59.5795,-59.5686
0.820242,1,7,2412,-60.5938,-60.5994
0.820242,5,11,2412,-55.6619,-55.6584
0.820242,0,6,2412,-51.2803,-51.2701
0.875814,17,23,2412,-54.6892,-54.707
0.875814,8,14,2412,-53.5529,-53.5679
0.875814,7,13,2412,-54.4445,-54.4429
0.875814,19,25,2412,-57.7448,-57.7319
0.875815,13,19,2412,-52.3646,-52.3771
0.875815,10,16,2412,-59.7316,-59.7287
0.897891,15,21,2412,-56.5427,-56.5201
0.897891,11,17,2412,-44.9087,-44.885
0.897891,18,24,2412,-51.0116,-50.993
0.897891,12,18,2412,-47.0002,-46.9969
0.897891,9,15,2412,-64.7827,-64.7886
0.910756,14,20,2412,-37.0897,-37.0584
0.910756,6,12,2412,-50.5251,-50.5853
0.910756,16,22,2412,-61.1273,-61.165
0.910756,3,9,2412,-48.7732,-48.7765
0.910757,2,8,2412,-62.6012,-62.5972
0.922642,4,10,2412,-59.5818,-59.5699
0.922642,1,7,2412,-60.5926,-60.5988
0.922642,5,11,2412,-55.6627,-55.6589
0.922642,0,6,2412,-51.2825,-51.2714
0.978214,17,23,2412,-54.6852,-54.7048
0.978214,8,14,2412,-53.5495,-53.5661
0.978214,7,13,2412,-54.4449,-54.4431
0.978214,19,25,2412,-57.7477,-57.7335
0.978215,13,19,2412,-52.3617,-52.3756
0.978215,10,16,2412,-59.7328,-59.7291
1.00029,15,21,2412,-56.5472,-56.5228
1.00029,11,17,2412,-44.9135,-44.8878
1.00029,18,24,2412,-51.0153,-50.9952
1.00029,12,18,2412,-47.0009,-46.9973
1.00029,9,15,2412,-64.7815,-64.7879
1.01316,14,20,2412,-37.0959,-37.0621
1.01316,6,12,2412,-50.5132,-50.5781
1.01316,16,22,2412,-61.1198,-61.1605
1.01316,3,9,2412,-48.7725,-48.7761
1.01316,2,8,2412,-62.6019,-62.5976
1.02504,4,10,2412,-59.5841,-59.5713
1.02504,1,7,2412,-60.5914,-60.598
1.02504,5,11,2412,-55.6633,-55.6593
1.02504,0,6,2412,-51.2847,-51.2727
1.08061,17,23,2412,-54.6811,-54.7024
1.08061,8,14,2412,-53.5461,-53.5641
1.08061,7,13,2412,-54.4452,-54.4433
1.08061,19,25,2412,-57.7504,-57.7351
1.08061,13,19,2412,-52.3588,-52.3739
1.08061,10,16,2412,-59.7339,-59.7296
1.10269,15,21,2412,-56.5512,-56.5256
1.10269,11,17,2412,-44.9183,-44.8909
1.10269,18,24,2412,-51.0191,-50.9976
1.10269,12,18,2412,-47.0015,-46.9977
1.10269,9,15,2412,-64.7802,-64.7872
1.11556,14,20,2412,-37.1013,-37.066
1.11556,6,12,2412,-50.5014,-50.5705
1.11556,16,22,2412,-61.1126,-61.1557
1.11556,3,9,2412,-48.7718,-48.7756
1.11556,2,8,2412,-62.6027,-62.5981
1.12744,4,10,2412,-59.5864,-59.5728
1.12744,1,7,2412,-60.5902,-60.5972
1.12744,5,11,2412,-55.6638,-55.6598
1.12744,0,6,2412,-51.2873,-51.2742
1.18301,17,23,2412,-54.677,-54.6999
1.18301,8,14,2412,-53.5426,-53.5619
1.18301,7,13,2412,-54.4455,-54.4435
1.18301,19,25,2412,-57.753,-57.7369
1.18301,13,19,2412,-52.356,-52.3721
1.18301,10,16,2412,-59.735,-59.7301
1.20509,15,21,2412,-56.5552,-56.5286
1.20509,11,17,2412,-44.923,-44.8941
1.20509,18,24,2412,-51.0228,-51.0001
1.20509,12,18,2412,-47.0021,-46.9981
1.20509,9,15,2412,-64.779,-64.7863
1.21796,14,20,2412,-37.1067,-37.0701
1.21796,6,12,2412,-50.4897,-50.5624
1.21796,16,22,2412,-61.1055,-61.1507
1.21796,3,9,2412,-48.7711,-48.7752
1.21796,2,8,2412,-62.6035,-62.5987
1.22984,4,10,2412,-59.5887,-59.5744
1.22984,1,7,2412,-60.5889,-60.5964
1.22984,5,11,2412,-55.6643,-55.6602
1.22984,0,6,2412,-51.2899,-51.2757
1.28541,17,23,2412,-54.6729,-54.6972
1.28541,8,14,2412,-53.5391,-53.5596
1.28541,7,13,2412,-54.4458,-54.4437
1.28541,19,25,2412,-57.7556,-57.7388
1.28541,13,19,2412,-52.3531,-52.3702
1.28541,10,16,2412,-59.7361,-59.7307
1.30749,15,21,2412,-56.5591,-56.5316
1.30749,11,17,2412,-44.9278,-44.8975
1.30749,18,24,2412,-51.0265,-51.0027
1.30749,12,18,2412,-47.0027,-46.9986
1.30749,9,15,2412,-64.7777,-64.7855
1.32036,14,20,2412,-37.1122,-37.0743
1.32036,6,12,2412,-50.478,-50.5539
1.32036,16,22,2412,-61.0983,-61.1454
1.32036,3,9,2412,-48.7704,-48.7747
1.32036,2,8,2412,-62.6043,-62.5992
1.33224,4,10,2412,-59.5909,-59.5761
1.33224,1,7,2412,-60.5876,-60.5955
1.33224,5,11,2412,-55.6647,-55.6607
1.33224,0,6,2412,-51.2925,-51.2774
1.38781,17,23,2412,-54.6688,-54.6943
1.38781,8,14,2412,-53.5357,-53.5572
1.38781,7,13,2412,-54.4461,-54.444
1.38781,19,25,2412,-57.7582,-57.7407
1.38781,13,19,2412,-52.3502,-52.3682
1.38781,10,16,2412,-59.7372,-59.7314
1.40989,15,21,2412,-56.5631,-56.5348
1.40989,11,17,2412,-44.9326,-44.901
1.40989,18,24,2412,-51.0302,-51.0055
1.40989,12,18,2412,-47.0033,-46.9991
1.40989,9,15,2412,-64.7765,-64.7846
1.42276,14,20,2412,-37.1177,-37.0786
1.42276,6,12,2412,-50.4663,-50.5452
1.42276,16,22,2412,-61.0912,-61.14
1.42276,3,9,2412,-48.7697,-48.7742
1.42276,2,8,2412,-62.6051,-62.5998
1.43464,4,10,2412,-59.5932,-59.5778
1.43464,1,7,2412,-60.5863,-60.5946
1.43464,5,11,2412,-55.6652,-55.6611
1.43464,0,6,2412,-51.2951,-51.2792
1.49021,17,23,2412,-54.6647,-54.6914
1.49021,8,14,2412,-53.5322,-53.5547
1.49021,7,13,2412,-54.4464,-54.4442
1.49021,19,25,2412,-57.7608,-57.7428
1.49021,13,19,2412,-52.3473,-52.3661
1.49021,10,16,2412,-59.7383,-59.7321
1.51229,15,21,2412,-56.5671,-56.538
1.51229,11,17,2412,-44.9374,-44.9046
1.51229,18,24,2412,-51.0339,-51.0083
1.51229,12,18,2412,-47.0039,-46.9995
1.51229,9,15,2412,-64.7752,-64.7836
1.52516,14,20,2412,-37.1232,-37.0831
1.52516,6,12,2412,-50.4546,-50.5361
1.52516,16,22,2412,-61.084,-61.1344
1.52516,3,9,2412,-48.7689,-48.7737
1.52516,2,8,2412,-62.6059,-62.6004
1.53704,4,10,2412,-59.5955,-59.5795
1.53704,1,7,2412,-60.5851,-60.5936
1.53704,5,11,2412,-55.6657,-55.6616
1.53704,0,6,2412,-51.2977,-51.281
1.59261,17,23,2412,-54.6606,-54.6883
1.59261,8,14,2412,-53.5287,-53.5521
1.59261,7,13,2412,-54.4467,-54.4445
1.59261,19,25,2412,-57.7634,-57.7448
1.59261,13,19,2412,-52.3444,-52.3639
1.59261,10,16,2412,-59.7394,-59.7328
1.61469,15,21,2412,-56.5711,-56.5413
1.61469,11,17,2412,-44.9422,-44.9084
1.61469,18,24,2412,-51.0376,-51.0113
1.61469,12,18,2412,-47.0045,-47
1.61469,9,15,2412,-64.774,-64.7827
1.62756,14,20,2412,-37.1287,-37.0877
1.62756,6,12,2412,-50.443,-50.5268
1.62756,16,22,2412,-61.0768,-61.1286
1.62756,3,9,2412,-48.7682,-48.7731
1.62756,2,8,2412,-62.6067,-62.6011
1.63944,4,10,2412,-59.5978,-59.5814
1.63944,1,7,2412,-60.5838,-60.5927
1.63944,5,11,2412,-55.6661,-55.662
1.63944,0,6,2412,-51.3003,-51.2829
1.69501,17,23,2412,-54.6565,-54.6851
1.69501,8,14,2412,-53.5253,-53.5494
1.69501,7,13,2412,-54.447,-54.4447
1.69501,19,25,2412,-57.766,-57.7469
1.69501,13,19,2412,-52.3415,-52.3617
1.69501,10,16,2412,-59.7405,-59.7336
1.71709,15,21,2412,-56.5751,-56.5447
1.71709,11,17,2412,-44.947,-44.9122
1.71709,18,24,2412,-51.0413,-51.0143
1.71709,12,18,2412,-47.0051,-47.0005
1.71709,9,15,2412,-64.7727,-64.7817
1.72996,14,20,2412,-37.1342,-37.0923
1.72996,6,12,2412,-50.4314,-50.5173
1.72996,16,22,2412,-61.0696,-61.1227
1.72996,3,9,2412,-48.7675,-48.7726
1.72996,2,8,2412,-62.6075,-62.6017
1.74184,4,10,2412,-59.6,-59.5832
1.74184,1,7,2412,-60.5825,-60.5916
1.74184,5,11,2412,-55.6666,-55.6625
1.74184,0,6,2412,-51.3028,-51.2849
1.79741,17,23,2412,-54.6524,-54.6818
1.79741,8,14,2412,-53.5218,-53.5467
1.79741,7,13,2412,-54.4473,-54.445
1.79741,19,25,2412,-57.7687,-57.7491
1.79741,13,19,2412,-52.3386,-52.3594
1.79741,10,16,2412,-59.7416,-59.7344
1.81949,15,21,2412,-56.579,-56.5481
1.81949,11,17,2412,-44.9517,-44.9162
1.81949,18,24,2412,-51.045,-51.0173
1.81949,12,18,2412,-47.0057,-47.0011
1.81949,9,15,2412,-64.7715,-64.7807
1.83236,14,20,2412,-37.1397,-37.097
1.83236,6,12,2412,-50.4198,-50.5075
1.83236,16,22,2412,-61.0625,-61.1167
1.83236,3,9,2412,-48.7668,-48.772
1.83236,2,8,2412,-62.6083,-62.6024
1.84424,4,10,2412,-59.6023,-59.5851
1.84424,1,7,2412,-60.5812,-60.5906
1.84424,5,11,2412,-55.6671,-55.663
1.84424,0,6,2412,-51.3054,-51.287
1.89981,17,23,2412,-54.6483,-54.6785
1.89981,8,14,2412,-53.5183,-53.5438
1.89981,7,13,2412,-54.4476,-54.4453
1.89981,19,25,2412,-57.7713,-57.7513
1.89981,13,19,2412,-52.3357,-52.357
1.89981,10,16,2412,-59.7427,-59.7352
1.92189,15,21,2412,-56.583,-56.5516
1.92189,11,17,2412,-44.9565,-44.9202
1.92189,18,24,2412,-51.0488,-51.0205
1.92189,12,18,2412,-47.0063,-47.0016
1.92189,9,15,2412,-64.7702,-64.7796
1.93476,14,20,2412,-37.1453,-37.1019
1.93476,6,12,2412,-50.4082,-50.4976
1.93476,16,22,2412,-61.0553,-61.1106
1.93476,3,9,2412,-48.7661,-48.7714
1.93476,2,8,2412,-62.6091,-62.603
1.94664,4,10,2412,-59.6046,-59.5871
1.94664,1,7,2412,-60.58,-60.5895
1.94664,5,11,2412,-55.6676,-55.6634
1.94664,0,6,2412,-51.308,-51.2891
2.00221,17,23,2412,-54.6442,-54.6751
2.00221,8,14,2412,-53.5148,-53.5409
2.00221,7,13,2412,-54.448,-54.4455
2.00221,19,25,2412,-57.7739,-57.7536
2.00221,13,19,2412,-52.3328,-52.3546
2.00221,10,16,2412,-59.7438,-59.736
2.02429,15,21,2412,-56.587,-56.5552
2.02429,11,17,2412,-44.9613,-44.9243
2.02429,18,24,2412,-51.0524,-51.0237
2.02429,12,18,2412,-47.0069,-47.0021
2.02429,9,15,2412,-64.7689,-64.7785
2.03716,14,20,2412,-37.1508,-37.1068
2.03716,6,12,2412,-50.3962,-50.4875
2.03716,16,22,2412,-61.0481,-61.1043
2.03716,3,9,2412,-48.7655,-48.7708
2.03716,2,8,2412,-62.6099,-62.6037
2.04904,4,10,2412,-59.6068,-59.5891
2.04904,1,7,2412,-60.5786,-60.5884
2.04904,5,11,2412,-55.6679,-55.6639
2.04904,0,6,2412,-51.3106,-51.2912
2.10461,17,23,2412,-54.6406,-54.6716
2.10461,8,14,2412,-53.5114,-53.538
2.10461,7,13,2412,-54.4482,-54.4458
2.10461,19,25,2412,-57.7766,-57.7559
2.10461,13,19,2412,-52.3297,-52.3521
2.10461,10,16,2412,-59.7447,-59.7369
2.12669,15,21,2412,-56.5908,-56.5587
2.12669,11,17,2412,-44.9658,-44.9285
2.12669,18,24,2412,-51.0558,-51.0269
2.12669,12,18,2412,-47.0072,-47.0026
2.12669,9,15,2412,-64.7672,-64.7774
2.13956,14,20,2412,-37.1564,-37.1117
2.13956,6,12,2412,-50.3834,-50.4771
2.13956,16,22,2412,-61.0409,-61.098
2.13956,3,9,2412,-48.765,-48.7702
2.13956,2,8,2412,-62.6108,-62.6044
2.15144,4,10,2412,-59.6089,-59.591
2.15144,1,7,2412,-60.5771,-60.5873
2.15144,5,11,2412,-55.6681,-55.6643
2.15144,0,6,2412,-51.313,-51.2934
2.20701,17,23,2412,-54.637,-54.6682
2.20701,8,14,2412,-53.5079,-53.535
2.20701,7,13,2412,-54.4485,-54.4461
2.20701,19,25,2412,-57.7794,-57.7582
2.20701,13,19,2412,-52.3266,-52.3496
2.20701,10,16,2412,-59.7457,-59.7378
2.22909,15,21,2412,-56.5947,-56.5623
2.22909,11,17,2412,-44.9703,-44.9327
2.22909,18,24,2412,-51.0593,-51.0301
2.22909,12,18,2412,-47.0076,-47.0031
2.22909,9,15,2412,-64.7655,-64.7762
2.24196,14,20,2412,-37.162,-37.1168
2.24196,6,12,2412,-50.3706,-50.4664
2.24196,16,22,2412,-61.0337,-61.0916
2.24196,3,9,2412,-48.7646,-48.7697
2.24196,2,8,2412,-62.6118,-62.6052
2.25384,4,10,2412,-59.611,-59.593
2.25384,1,7,2412,-60.5756,-60.5861
2.25384,5,11,2412,-55.6683,-55.6647
2.25384,0,6,2412,-51.3154,-51.2956
2.30941,17,23,2412,-54.6335,-54.6647
2.30941,8,14,2412,-53.5044,-53.5319
2.30941,7,13,2412,-54.4488,-54.4463
2.30941,19,25,2412,-57.7821,-57.7606
2.30941,13,19,2412,-52.3235,-52.347
2.30941,10,16,2412,-59.7467,-59.7387
2.33149,15,21,2412,-56.5986,-56.5659
2.33149,11,17,2412,-44.9748,-44.9369
2.33149,18,24,2412,-51.0627,-51.0334
2.33149,12,18,2412,-47.0079,-47.0036
2.33149,9,15,2412,-64.7639,-64.775
2.34436,14,20,2412,-37.1675,-37.1218
2.34436,6,12,2412,-50.3579,-50.4556
2.34436,16,22,2412,-61.0265,-61.085
2.34436,3,9,2412,-48.7641,-48.7691
2.34436,2,8,2412,-62.6127,-62.6059
2.35624,4,10,2412,-59.6131,-59.595
2.35624,1,7,2412,-60.5741,-60.5849
2.35624,5,11,2412,-55.6685,-55.6651
2.35624,0,6,2412,-51.3178,-51.2978
2.41181,17,23,2412,-54.6299,-54.6612
2.41181,8,14,2412,-53.5009,-53.5288
2.41181,7,13,2412,-54.4491,-54.4466
2.41181,19,25,2412,-57.7848,-57.763
2.41181,13,19,2412,-52.3204,-52.3443
2.41181,10,16,2412,-59.7477,-59.7396
2.43389,15,21,2412,-56.6024,-56.5696
2.43389,11,17,2412,-44.9794,-44.9411
2.43389,18,24,2412,-51.0661,-51.0367
2.43389,12,18,2412,-47.0083,-47.0041
